id,Answer,explaination
Set_1: q25,Answer: C. Fatty change,"Steatosis or the fatty change is abnormal accumula - tion of fat (lipids) within a cell or organ. Steatosis fre - quently affects the liver, which is the primary organ of lipid metabolism, leading to a disorder that is commonly referred to as fatty liver disease. Fatty change in Liver"
Set_1: q26,Answer: B. Inflammation,"The edema caused by inflammation due to increased permeability of the capillary system. Exudates are called protein rich, high specific gravity, low glucose, cell laden edema fluid. Specific gravity is more than 1."
Set_1: q27,"Common types of exudates are purulent, fibrinous, and",hemorrhagic. Exudates Inflammation belongs to the defense mechanism of the body. Inflammation typically has two types (acute and chronic).
Set_1: q28,"Answer: D Histamine, bradykinin, and prostaglandins","Inflammatory mediators such as histamine, bradyki - nin, and prostaglandins are vasodilators. They also cause an increase in vascular permeability. This causes relax - ation of the muscle in the blood vessel walls. This reduces blood flow resistance, increases blood flow, and decreases blood pressure."
Set_1: q29,"Answer: D IL-1, IL-6, and tumor necrosis factor-alpha","Imbalance in inflammatory cytokine production such as interleukin-6 (IL-6), TNF- α, interleukin-1 (IL-1), interleukin-10 (IL-10), type I & II interferon contribute to immune dysfunction. They also mediate the inflam - mation of the tissues and organ damage."
Set_1: q30,Answer: B. Macrophage,"In macrophages, cytokines like TNF, IL-1, IL-6, IL-8, and IL-12 are secreted when they are exposed to inflamed stimuli. The primary sources of the cytokines are mono - cytes and macrophages. Activated lymphocytes, endo - thelial, and fibroblast cells produce them."
Set_1: q31,Answer: C. Liver,"Liver consists of different cell types, including hepa - tocytes (parenchymal cells). Liver also consists of mac - rophages (Kupffer cells) and sinusoidal endothelial cells. Kupffer cells reside in the liver sinusoids. Kupffer cell in Liver"
Set_1: q32,Answer: A Cytochrome c,"The programmed cell death (PCD) is called apopto - sis. There are two main apoptotic pathways: extrinsic one and endogenous one. Intrinsic apoptotic pathway converges with the release of proteins from mitochon - dria into the cytosol. One such proteins released is called cytochrome c (Cc).1 Cellular Pathology, Inflammation, and Repair 7"
Set_1: q33,Answer: B. Necrotizing inflammation,"An inflammatory area in which tissue is dead is called necrotizing granuloma. The conditions caused by necro - tizing granulomas are tuberculosis and granulomatosis with polyangiitis. Granulomatous inflammation is a his - tological tissue reaction which occurs after cell injuries. Common causes of necrotizing inflammation are necro - tizing granulomas, non-necrotizing granulomas, and suppurative granulomas. Necrotizing granuloma is seen in mycobacterium tuberculosis. It usually consists of central necrotic regions, epithelioid histiocytes, and multinucleated giant cells. Non-necrotizing granulomas are seen in sarcoidosis. Necrotizing granuloma Multinucleated giant cells"
Set_1: q34,Answer: A. CXCL17,Chemokines are a superfamily of chemical cytokines that control the movement of cells in a homeostatic and inflammatory condition. CXCL17 is an important lung macrophage chemotactic factor.
Set_1: q35,Answer: D: Eosinophil,Eosinophils are bilobed cells with large eosinophilic granules. They defend against parasitic infections. Eosinophils may also participate in critical protection tasks against bacterial and viral pathogens including HIV .
Set_1: q36,Answer: A. Pain,Mediators of pain are bradykinin and prostaglandins (E2). Bradykinin increases the vascular permeability. Vasodilation and bronchoconstriction are also caused by bradykinin.
Set_1: q37,Answer: A. Cytokines IL-1,"There are several pyrogenic cytokines. Common pyrogenic cytokines are IL-1, IL-6, and TNF. The pyro -genic cytokine interferon (IFN)-alpha is also one of the pyrogenic cytokines."
Set_1: q38,Answer: C. IL-6,"IL-6 is a cytokine with a wide range of biological functions including support of hematopoiesis, regulation of immune responses, and generation of acute phase reactions. IL-6 and VEGF are the main cytokines includ - ing systemic complications in Castleman disease."
Set_1: q39,"Answer: A. Cytokines IL-4, IL-5, and IL-13","TH2 cytokines IL-4, IL-5, and IL-13 are important mediators in asthma."
Set_2: q1,Answer: A. Turner syndrome,"Turner syndrome is a malformation syndrome due to the lack of a second X chromosome (45, XO). It is a common cause of primary ovarian insufficiency. It is characterized by short stature, failure of puberty to occur, webbed neck, cubitus valgus, lymphoedema of the dorsal surfaces of the hands and feet, expression - less face. There is gonadal dysgenesis with rudimen - tary “streak ovaries,” shortening of the fourth and fifth metatarsals. There may be renal anomalies (horseshoe kidney, unilateral renal agenesis), cardiac defects (usually coarctation of aorta). Early treatment to pro - mote growth is required by an experienced pediatric endocrinologist."
Set_2: q2,Answer: B. 47 XXY,"Klinefelter syndrome is a hypogonadism syndrome in males with an additional X chromosome (XXY syn - drome). Main signs in childhood are tall stature with unusually long lower extremities, slightly below average intelligence with a delayed onset of puberty, gyneco - mastia. In adolescent and adulthood, there are eunuch - oid proportions with tall stature. There is normally developed penis with small testes, and infertility (azo - ospermia) noticeable after puberty. Secondary sexual characteristics are poorly developed with female distri - bution of pubic hair. Most patients are diagnosed after the 14th year of life. Plasma and urine gonadotropins are elevated. X-chromatin is positive on screening (buccal smear). There is an increased risk of psychiatric and autism spectrum disorders."
Set_2: q3,Answer: C. Deletion of chromosome 5p,"Cri du Chat syndrome is a syndrome comprising facial dysmorphism, primordial growth deficiency, low birth weight, psychomotor delay, and affected babies have cat-like high pitched cry in early infancy. Main signs are round flat face, hypertelorism, downslanting palpebral fissures, low broad nasal bridge, micrognathia, and low set ears. A missing piece of chromosome 5 is a cause of this disorder.Answers and Explanations 12"
Set_2: q4,"Answer: A. Mental retardation, low set ears, micro -","gnathia, overlapping fixed fingers, and Rocker-bottom feet Trisomy 18 (Edward Syndrome) consists of primor - dial growth deficiency, typical facial dysmorphism, and profound psychomotor retardation. Characteristic facies are distinguished by protruding forehead, upward- slanting palpebral fissures, micrognathia, microstomia, short philtrum and not infrequently cleft lip or palate. Other signs and symptoms include flexion contractures of the fingers with overlapping of the fingers, hypoplas - tic nails, clenched fists, “rock-bottom feet.” There is a short sternum with widely faced nipples. There may be defects in the heart (ventricular septal defect and patent ductus arteriosus)."
Set_2: q5,Answer: A. Fragile X Syndrome,"Fragile X Syndrome is a form of familial mental retardation of varied severity, mainly in males, with large ears, macro-orchidism, and fragile X chromosome. There is increased weight and head circumference above the 97th percentile at birth. Delayed psychomotor devel - opment occurs with muscular hypotonia, thin legs, walk - ing after 18 months, delayed speech. This is an X-linked disorder with anticipation (increasing severity in successive generations). In adolescence, tall stature, flat feet, hyperextensible joints occur along with prolapse of the aortic and mitral valves."
Set_2: q6,Answer: A. Enzyme defect is a deficiency of,"sphingomyelinase An autosomal recessive sphingolipidoses with differ - ent clinical forms, Niemann-Pick disease (NPD) is char - acterized by a protruding abdomen due to hepatosplenomegaly. Neurological complications of variable severity, cherry red spot in the macula, thin extremities, and growth deficiency are also found in NPD. Type A is an acute form with neurological compli - cations. Type B is chronic form with or without neuro - logical complications. Regression of speech and intellect, ataxia, grand mal seizures are seen as neuro - logic complications."
Set_2: q7,Answer: A. Hurler Syndrome,"Hurler syndrome is an autosomal recessive muco - polysaccharide storage disease, which leads to the devel - opment of typical facial dysmorphism. Characteristic facies have low, flat nasal bridge, broad tip of nose, large nares, hypertelorism, exophthalmos, corneal clouding, thick lips. There is short neck with joint contractures, claw hands. Protruding abdomen and hernias may be present. The mucopolysaccharide type 1-H is not degraded because of the absence of alpha-iduronidase, but are stored in various organs resulting in functional and morphological anomalies of these organs. Gene locus is present on 4p16."
Set_2: q8,Answer: E. Bloom syndrome,"Bloom syndrome is a recessive hereditary syndrome of primordial growth deficiency and telangiectatic ery - thema. Main signs are long narrow face with a promi - nent nose, micrognathia, and microcephaly. Telangiectasia erythema is more marked after exposure to the sun, more commonly in a butterfly distribution on the face. There is a tendency in the younger age group to develop malignant tumors, especially leukemia, lym - phoma, and later adenocarcinomas."
Set_2: q9,Answer: B. Achondroplasia,"Achondroplasia is a generalized skeletal dysplasia with disproportionate short stature, large head, typical dysmorphism. There is ulnar deviation of the hands, splayed fingers (trident hand). Head is too large for the body with coarse facial features. X-ray findings show thoracolumbar kyphosis and lumbosacral lordosis. It is an autosomal dominant disorder and gene locus is on the short arm of chromosome 4(4p16.3)."
Set_2: q10,Answer: C. Polyploidy,"In polyploidy, there are more than two paired homol - ogous sets of chromosomes. It is a common finding in spontaneous abortion. Polyploidy is usually lethal irre - spective of the sexual phenotype of the embryo."
Set_2: q11,Answer: A. Familial hypophosphatemic rickets,"Familial hypophosphatemic rickets is also called vitamin-D resistant rickets. It is a metabolic disorder with short stature and rachitic bone changes. There is a short stature with pronounced bow legs. In childhood, other rachitic bone changes (rachitic rosary, enlargement of the wrists and ankles) are also seen. There may be a dental change with delayed eruptions and dental abscess. In adulthood, abnormal curvature of the spine, osteoma - lacia, calcification around ligaments, and joint capsules are present. Radiologically, changes as in vitamin-D deficiency rickets are seen but pelvic and spinal regions are spared. Laboratory findings show hypophosphate - mia, hyperphosphaturia, increased serum alkaline phos - phatase, normal calcium, and parathormone. It is an X-linked dominant disorder, which is triggered by a genetic defect on the short arm of the X chromosome. Combined disorder of phosphate reabsorption and of regulation of 1, 25-(OH) secretion in the proximal renal tubules is present."
Set_2: q12,Answer: C. Chediak-Higashi syndrome,"Chediak-Higashi syndrome is a syndrome of oculo - cutaneous albinism, frequent bacterial infections. Fair skin, fair hair with silvery sheen, light-colored iris, pho - tophobia, and nystagmus are present. There are recurrent bacterial infections, especially of the upper and lower respiratory tract and skin. Giant azure-blue granules in the granulocytes are present. Anemia is found in 80% of all affected individuals. It has an autosomal recessive 2 Genetic Disorders 13 inheritance. There is an impaired function of the neutro - phils in the cell membrane due to giant granules, impaired chemotaxis, and intracellular bacterial killing."
Set_2: q13,"Answer: B. Mental retardation, cleft lip and palate, car -","diac defects, and polydactyly Patau syndrome (trisomy 13) is the result of an extra copy of chromosome"
Set_2: q14,"Main signs are microcephaly,","slanting forehead, hypo or hypertelorism, mongoloid slant of the palpebral fissures, microphthalmia or anoph - thalmia, cleft lip, palate, and micrognathia. Holoprosencephaly, postaxial polydactyly, mainly of upper extremities are the other main signs. There may be capillary hemangiomas, cryptorchidism, cardiac defects of various types (ventricular septal defect and patent ductus arteriosus)."
Set_2: q15,Answer: B. Huntington's disease,"Huntington’s disease, an autosomal dominant disor - der, is caused by an expansion of the cytosine—ade - nine—guanine (CAG) trinucleotide in the huntingtin gene (HTT gene), also called the HD gene, that encodes the huntingtin protein, which results in an expanded polyglutamine tract. Huntington's disease (HD) is a neu - rodegenerative disorder and is characterized by chorei - form movements, psychiatric problems, and dementia."
Set_2: q16,Answer: B.  Enzyme defect is a deficiency of,"glucocerebrosidase Gaucher disease is a chronic lysosomal storage dis - ease with hepatosplenomegaly, dyshematopoiesis (sple - nogenic marrow depression, thrombocytopenia, leukopenia, and anemia), and characteristic orthopedic complications. Mental development and nervous system is normal. There is a periodic bone and joint pain, espe - cially in the long bones. Pseudo-osteomyelitic or pseudo arthritic pathologic fractures are usually found in the femur (on radiograph showing an “Erlenmeyer flask deformity”). Demonstration of Gaucher cells in bone marrow aspirates or a cerebroside-beta-glucosidase defect in leukocyte is diagnostic. It is an autosomal recessive disorder due to a defect in glucosylceramidase beta gene (GBA1) coding for enzyme glucocerebrosidase."
Set_2: q17,Answer: A. Tay-Sachs disease,"Tay-Sachs disease is an autosomal recessive GM2 gangliosidosis caused by β-hexosaminidase A (HexA) enzyme deficiency. There is a rapid psychomotor dete - rioration, hypotonia to generalized paralysis and even - tual spasticity, progressive deafness, blindness, seizures. Cherry-red spot is present in the macular region in over 95 % of patients."
Set_2: q18,Answer: E. Neurofibromatosis type 1,"Neurofibromatosis type 1 (V on Recklinghausen) is a characteristic hereditary disorder of multiple cafe au lait spots, especially on the trunk. Multiple fibromas or neu -rofibromas and subcutaneous growth are present. Frequent neurological or ocular disorders are caused by nerve compression. Skeletal anomalies (congenital pseudarthrosis of the tibia, club foot, dislocation of the hip) may be present. NF-type 1 is an autosomal domi - nant disorder with 100 % penetrance but variable expres - sion. Gene locus is present on 17q11."
Set_2: q19,Answer: A. Fibrillin-1,"Marfan syndrome is a hereditary disorder with dis - proportionate tall stature mainly due to excessively long extremities, resulting in eunuchoid body proportions, and arachnodactyly. There is muscular hypoplasia and hypotonia due to marked deficit of fatty tissue. Main signs are long, narrow face with high palate, and nar - rowly spaced teeth. Signs of connective tissue weakness include hernias, hyperextensible joints. Dislocation of the lenses is seen in about 75% of the patients. Dislocation of joints, kyphoscoliosis, pes planus, pectus carinatum or excavatum may be present. There may be general dilation of aorta (aortic valve incompetence), dissecting aneurysms. Marfan syndrome is an autosomal dominant disorder. There is a Fibrillin-1 defect. Gene locus is present on 15q21."
Set_2: q20,Answer: A. Sturge-Weber syndrome,"Sturge-Weber syndrome (Cerebro Cutaneous Angiomatosis Syndrome) is a characteristic syndrome of macular hemangiomas, especially of the face. Port- wine color, nevus flammeus of the face and head is pres - ent preferentially in the trigeminal area, mostly unilateral. Patients may present with focal or general - ized cerebral seizures. Spastic hemiparesis is present contralateral to the side of the angioma. Inherited factors are probably of causal significance. This could be the manifestation of a lethal lesion in the mosaic."
Set_2: q21,Answer: C. X-linked recessive,"Duchenne muscular dystrophy is a characteristic hereditary syndrome in males, with onset in childhood of “ascending” muscle atrophy beginning in the pelvis and thigh regions. Main signs are rapid fatigue when climbing stairs, difficulty up from the floor, eventually “climbing up himself’ (Gower sign). There is hyperlor - dosis with protruding abdomen. Pseudohypertrophy (fatty infiltration) especially of the calves, and also of thigh and buttock musculature is present. Ascending degeneration of the musculature starts at the pelvic gir - dle and thighs. Mental retardation is seen in approxi - mately 30% of the children. Marked increased serum creatine kinase activity is present in the initial stages of the process. The gene product, dystrophin is deficient in Duchenne patients. Absence of dystrophin can be shown immunohistologically. Manifestation is between 3 and 5 years of age. It is an X-linked recessive disorder with 65% of patients show deletion mutations.Answers and Explanations 14"
Set_2: q22,Answer: A. 3p,"Clear cell carcinoma which typically have a deletion of chromosome 3p, arise from the proximal tubule. In addition to occurring in sporadic disease, clear cell car - cinomas are specifically associated with V on Hippel- Lindau disease."
Set_2: q23,Answer: C. DiGeorge’s syndrome,"Majority of the cases of DiGeorge syndrome (DGS) are due to a 22q11.2 deletion. Conotruncal cardiac anomalies, hypoplastic thymus, hypocalcemia are the classic triad of features of DGS on presentation. Immunodeficiency is common and can range from recurrent sinopulmonary infections (partial DGS) to severe combined immunodeficiency (SCID; complete DGS). The severity of the immunodeficiency is associ - ated to the degree of thymic hypoplasia."
Set_2: q24,Answer: D. Wiskott-Aldrich syndrome,"Wiskott-Aldrich syndrome is an X-linked recessive disorder with the triad of signs; eczema, thrombocytope - nia with bleeding tendencies and recurrent infections. The WAS has been localized to the proximal short arm of the chromosome (Xp11.22). There is a clinical onset frequently with eczema due to T cell defect in the first sixth months of life. There are recurrent pneumococcal infections."
Set_2: q25,Answer: D. 7,CF is a result of mutations in a single large gene on chromosome 7 that encodes the cystic fibrosis trans - membrane conductance regulator (CFTR) protein. Disease-  causing mutations in both copies of the CFTR gene results in clinical disease. Mutations of the CFTR gene have been divided into five different classes. Mutations in classes I to III cause more severe disease than those in classes IV and V .
Set_2: q26,Answer: D. Kartagener's syndrome,"Kartagener’s syndrome, an autosomal recessive inherited disorder, is a subset of primary ciliary dyskine - sia, and is characterized by the clinical triad of chronic sinusitis, bronchiectasis, and situs inversus. The main pathophysiologic problem is abnormal ciliary structure or function leading to impaired ciliary motility."
Set_2: q27,Answer: C. Ataxia telangiectasia,"Ataxia telangiectasia (Progressive Cerebellar Ataxia with Telangiectasia) is a characteristic hereditary syn - drome with neurological, cutaneous, and immune defi - ciency signs. Main signs are progressive cerebellar ataxia and telangiectasia. Telangiectasia occurs in the areas of the bulbar conjunctiva that are exposed to light and later on the lids in a butterfly distribution on and alongside of the nose. Immune deficiency causes fre - quent signs of respiratory tract infections. It is an autoso - mal recessive disorder. Patients have an increased risk of developing lymphoreticular malignancies."
Set_2: q28,Answer: A. Autosomal dominant,"Peutz-Jeghers Syndrome (PJS) is an autosomal disor - der of conspicuous pigmentation, predominantly of the face and oral mucosa, associated with hamartomatous polyposis of the gastrointestinal tract. Main signs are dark, brown or bluish gray-black pigmented spots on the skin of the face, on the oral mucosa, extremities includ - ing the nail beds. PJS is an autosomal dominant disorder with almost 100% penetrance."
Set_2: q29,Answer: E. Prader–Willi syndrome,"Prader–Willi syndrome is a syndrome comprising of mental retardation, short stature, obesity, and hypogo - nadism, following initial marked muscular hypotonia in infancy. In 95 % of patients, it is due to loss of paternal alleles from the region 15q11-"
Set_2: q30,Common features are,"short stature, increasing obesity with hyperphagia, severe psychomotor retardation, hypogenitalism, scrotal hypoplasia, and frequent cryptorchidism. Prader–Willi syndrome is the most common syndromic form of obe - sity. Hypogonadism is present in both sexes."
Set_2: q31,Answer: D. Down syndrome,"Down syndrome (Trisomy 21 syndrome) is a malfor - mation syndrome comprising of mental retardation and characteristic physical appearance. It is frequently asso - ciated with increased maternal age. Trisomy of chromo - some 21, accounts in over 95% of the patients. Infrequently, in about 3%, it is attached to another chro - mosome (translocation). In 2% trisomy 21 mosaicism (47+21/46) is present. Main signs are “flat face” with a mongoloid slant of the palpebral fissures, epicanthus, low nasal bridge, a small nose, and dysplastic ears. Short-appearing, neck with loose skin is more apparent in the young child. Muscular hypotonia and generalized hypermobility of the joints with laxity of the ligaments is also seen. Mental retardation is moderate to severe. 80% of all down patients develop microcephaly from the sixth month of life."
Set_3: q1,Answer: D. Selective IgA deficiency,"There is a high prevalence of IgA deficiency. Patients are usually asymptomatic or present with recurrent sino - pulmonary and gastrointestinal infections. IgA defi - ciency patients can cause anaphylactic reactions when exposed to IgA-containing products. Patients with this deficiency should get washed blood products (red blood cells, platelets) to remove IgA against which they could react."
Set_3: q2,Answer: B. IgG,"Five immunoglobulin classes (isotypes) are found in serum and only IgG (immunoglobulin G) crosses the human placenta. Immunoglobulin G has four subclasses (IgG1, 2, 3, and 4). All subclasses of immunoglobulin G cross placenta."
Set_3: q3,Answer: C. Germinal center,"Germinal center contains proliferating B cells and follicular dendritic cells. It is round or oval zone with pale staining cells, surrounded by darker cells. Mantle cell Germinal Center T-cell Zone"
Set_3: q4,Answer: C. T and B lymphocytes,T and B lymphocytes and natural killer (NK) cells are immunological memory cells. They produce an effective response if second encounter occurs with the same antigen.
Set_3: q5,Answer: B. Anti-histone antibodies,"Drugs (procainamide, hydralazine) associated lupus produce anti-histone antibodies. In drug-induced lupus, anti-dsDNA antibodies are not found."
Set_3: q6,Answer: A. Type II Hypersensitivity,Myasthenia gravis (MG) is a type II hypersensitivity immune response. The disease produces anti- acetylcholine (ACh) antibodies which block neuromus - cular transmission. There is a muscle weakness with Answers and Explanations 20 drooping eyelids. It may be associated with thymoma (10%).
Set_3: q7,Answer: D. IL-5,Interleukin-5 is produced by T helper type 2 (Th2) cells. It activates B cells. Eosinophils are recruited by Interleukin-
Set_3: q8,Answer: B. Interleukin-2,"Interleukin-2 (IL-2) is produced by activated T helper cells. It augments T cells, large granular lymphocyte (LGL), and B cells activity. Interleukin-2 (IL-2) is one of the key cytokines used for the therapy of metastatic mel - anoma and renal cell carcinoma."
Set_3: q9,Answer: B. Low or absent immunoglobulins,"X-linked agammaglobulinemia (XLA) of Bruton presents approximately at 2–6 months of age after maternal antibody wanes. It is caused by a defect in B cell maturation. There are extremely low or absent immunoglobulin levels (IgG < 200 mg/dl). CD 19 positive B cells are absent in peripheral blood. Patients present with recurrent respiratory infections due to streptococcus pneumoniae and haemophilus influenzae and gastrointestinal infections by giardia lamblia. In lymph nodes, lymphoid follicles and ger - minal centers are not formed because of the absence of B cells."
Set_3: q10,Answer: B. Interferons,"Type 1 interferons include IFN α and IFN β. IFN α is produced by leukocytes, inhibits viral replication. It is used to treat Hepatitis C. IFN β is produced by fibroblast and also inhibits viral replication. Interferon beta (IFN β) used to treat multiple sclerosis (MS). Type II interferons (IFNs) include IFN- γ (gamma). IFN- γ is produced by T helper cells and increases cell-mediated immunity (CMI)."
